idJeu;Nom du jeu;Auteur;Éditeur;nb joueurs;âge min;Durée;Type;Notice;Zone plan;Zone bénévole;idZone;À animer;Reçu;Mécanismes;Thèmes;Tags;Description;Image;Logo;Vidéo
98;Paper Tales;Masato Uesugi;Catch Up Games;2 à 5 joueurs;12 ans;45 mn;Tout public;https://catchupgames.com/media/papertales/papertales_regles.pdf;Esplanade-Ouest 3;Esplanade-Ouest 3a;219;oui;oui;Cartes,Draft;Fantastique, Médiéval;Fantastique, Médiéval,Cartes,Draft;Ouvrez le livre des siècles oubliés pour revivre des temps héroïques, peuplés de créatures fantastiques. Développez votre Royaume à travers les Âges et mesurez-vous à vos adversaires pour écrire votre légende !;https://cdn3.philibertnet.com/552750-large_default/paper-tales-edition-integrale.jpg;https://catchupgames.com/wp-content/uploads/2022/10/logo_fond_blanc.png;https://www.youtube.com/watch?v=1kmGwtUy4eU
187;Forteresse;Raf Peeters;Smart Games;1 joueur;8 ans;60 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/forteresse;Esplanade-Est 3;;181;non;oui;Casse-tête;Moyen Age;Moyen Age,Casse-tête;Forteresse est un jeu de logique dans lequel le joueur doit défense son donjon en repoussant les envahisseurs. La boîte comprend 80 défis de difficulté croissante.;https://cdn1.philibertnet.com/501391-large_default/forteresse.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=WIaJjMA9Ddc
190;L'Aventurier;;Smart Games;1 joueur;7 ans;45 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/laventurier;Esplanade-Est 3;;181;non;oui;Casse-tête;Labyrinthe, Temple;Labyrinthe, Temple,Casse-tête;L'Aventurier est un casse-tête comprenant 60 défis répartis en 4 niveaux pour tous âges qui vous fera vivre de riches moments de remue-méninges.;https://cdn2.philibertnet.com/317962-large_default/l-aventurier.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=ZXNveVBWaNw
193;Lièvres et renards;;Smart Games;1 joueur;7 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/li%C3%A8vres-renards#:~:text=Le%20but%20du%20jeu%20consiste,Les%20Champignons%20ne%20bougent%20pas%20!;Esplanade-Est 3;;181;non;oui;Casse-tête;Nature, Animaux;Nature, Animaux,Casse-tête;Lièvres & Renards est un jeu de logique et de réflexion pour un joueur dans lequel il faut aider les lièvres à rejoindre leur gîte. Le coffret propose 60 défis de niveau de difficulté croissant.;https://cdn3.philibertnet.com/501630-large_default/lievres-renards.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=Vli4Hn6JXyk
194;La Nuit des Fantômes;Raf Peeters;Smart Games;1 joueur;6 ans;60 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/la-nuit-des-fant%C3%B4mes;Esplanade-Est 3;;181;non;oui;Casse-tête;Fantastique, Chemin;Fantastique, Chemin,Casse-tête;La Nuit des Fantômes est un jeu de casse-tête dans lequel les joueurs ont pour objectif d'éclairer tous les fantômes se trouvant dans la maison. Le jeu propose 60 défis évolutifs proposés.;https://cdn1.philibertnet.com/501407-large_default/la-nuit-des-fantomes.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=Ol05v76pcOU
197;Les 3 petits cochons;;Smart Games;1 joueur;3 ans;30 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/les-trois-petits-cochons;Esplanade-Est 3;;181;non;oui;Casse-tête;Animaux;Animaux,Casse-tête;Les Trois Petits Cochons est un jeu de réflexion pour enfants dans lequel les joueurs doivent placer les maisons pour que les cochons jouent à l'extérieur ou se protègent du loup selon la situation.;https://cdn3.philibertnet.com/501403-large_default/trois-petits-cochons-deluxe.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=apb1x60zkyY
198;Bahuts malins;Raf Peeters;Smart Games;1 joueur;3 ans;;Enfants;https://ludotheque.ath.be/les-regles-de-nos-jeux/2992-bahuts-malins.pdf;Esplanade-Est 3;;181;non;oui;Casse-tête,Logique;Camions;Camions,Casse-tête,Logique;Les trois camions Groseille, Citron et Pruneau sont en route vers leur prochaine destination. Pouvez-vous les aider à tout emporter ?;https://cdn2.philibertnet.com/315132-large_default/trucky-3-bahuts-malins.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=piGy395x7lA
200;Camelot Jr;Raf Peeters;Smart Games;1 joueur;4 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/camelot-jr;Esplanade-Est 3;;181;non;oui;Casse-tête;Médiéval;Médiéval,Casse-tête;Construisez avec les tours et les escaliers, comme indiqué dans le défi, un chemin qui mènera le chevalier auprès de sa princesse.;https://cdn1.philibertnet.com/311037-large_default/camelot-junior.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=f-wPr8g9h5U
202;Le Petit Chaperon Rouge;Raf Peeters;Smart Games;1 joueur;4 ans;60 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/le-petit-chaperon-rouge;Esplanade-Est 3;;181;non;oui;Casse-tête;Contes, Chemin;Contes, Chemin,Casse-tête;Petit Chaperon Rouge Deluxe est un jeu de réflexion idéal pour les jeunes enfants qui devront se creuser les méninges pour résoudre un à un les 24 défis de difficulté croissante.;https://cdn3.philibertnet.com/501399-large_default/petit-chaperon-rouge-deluxe.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=ADLc67fJqoo
205;IQ-Fit;Raf Peeters;Smart Games;1 joueur;6 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-fit;Esplanade-Est 3;;181;non;oui;Casse-tête;Abstrait;Abstrait,Casse-tête;Affutez vos neurones, avec IQ Fit de Smart Gmes, pour résoudre les défis de ce jeu de réflexion déconcertant qui comprend 120 défis et 5 niveaux de difficulté.;https://cdn3.philibertnet.com/401746-large_default/iq-fit.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=Sqzpkd9fVOw
207;IQ-Link;Raf Peeters;Smart Games;1 joueur;8 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-link;Esplanade-Est 3;;181;non;oui;Casse-tête;Abstrait;Abstrait,Casse-tête;IQ-Link est un jeu de voyage compact et le jeu de réflexion le plus complexe dans la série IQ de SmartGames. Placez toutes les pièces du puzzle sur le plateau de jeu... Enfin, si vous y arrivez !;https://cdn2.philibertnet.com/401707-large_default/iq-link.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=Lb1L-QH55Sg
208;IQ-Puzzler;Raf Peeters;Smart Games;1 joueur;6 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/iq-puzzler-pro;Esplanade-Est 3;;181;non;oui;Casse-tête;Abstrait;Abstrait,Casse-tête;IQ Puzzler Pro est coffret de casse-têtes de l'éditeur SmartGames proposant 120 défis déclinés sous trois modes de jeu. Ce jeu aux multiples facettes offre aux joueurs de relever aussi bien des défis en 2D qu'en 3D!;https://cdn3.philibertnet.com/401760-large_default/iq-puzzler-pro.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=OuDIR28UMTw
374;Alerte ! Astéroïdes;Raf Peeters;Smart Games;1 joueur;8 ans;10 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/alerte-ast%C3%A9ro%C3%AFdes;Esplanade-Est 3;;181;non;oui;Casse-tête;Espace;Espace,Casse-tête;Alerte ! Astéroïdes est un jeu de casse-tête sur le thème de l'espace comportant 60 défis à résoudre de différents niveaux. Sortirez-vous indemne du champ d'astéroïdes ?;https://cdn1.philibertnet.com/402492-large_default/alerte-asteroides.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=872l4V7bomU
375;Cache Noisettes !;Raf Peeters;Smart Games;1 joueur;6 ans;10 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/cache-noisettes;Esplanade-Est 3;;181;non;oui;Casse-tête;Animaux;Animaux,Casse-tête;Cache Noisette ! est un jeu de logique qui contient 60 défis de niveaux différents. Résolvez un à un chaque défi proposé en réalisant les schémas démandés.;https://cdn2.philibertnet.com/402483-large_default/cache-noisette-.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=IxMlR3Obcdo
418;Little Action;Babayaga;Djeco;2 à 4 joueurs;2 ans;10 mn;Enfants;http://www.djeco.com/data/rules/DJ08557_FR.pdf;Esplanade-Est 4;Esplanade-Est 4a;226;oui;oui;action,Cartes;Animaux;Animaux,action,Cartes;Little action est un jeu d'action, de manipulation et d'adresse pour les petits. Les joueurs devront réussir une multitude de petits défis pour gagner des médailles.;https://cdn1.philibertnet.com/458287-large_default/little-action.jpg;https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png;https://www.youtube.com/watch?v=yOtiUjgrJpA
426;Woolfy;Grégory Kirszbaum, Alex Sanders;Djeco;2 à 4 joueurs;5 ans;15 mn;Enfants;http://www.djeco.com/data/rules/DJ08427_FR.pdf;Esplanade-Est 4;Esplanade-Est 4a;226;oui;oui;Coopératif;Contes;Contes,Coopératif;Les joueurs cherchent à construire la maison de brique afin d'y mettre en sécurité les 3 petits cochons avant que le loup ne les ait attrapés et mis dans la marmite. Un jeu idéal pour les petits qui s'allient pour gagner contre le loup.;https://cdn3.philibertnet.com/455854-large_default/woolfy.jpg;https://upload.wikimedia.org/wikipedia/fr/thumb/1/18/Logo_Djeco.svg/langfr-280px-Logo_Djeco.svg.png;https://www.youtube.com/watch?v=4e6ShJymQis
434;Celestia;Aaron Weissblum;Blam!;2 à 6 joueurs;8 ans;30 mn;Tout public;https://blam-edition.com/medias/5bac92bbb1f82_Celestia_FR_1_2_1.pdf;Esplanade-Ouest 2;Esplanade-Ouest 2b;213;oui;oui;Bluff,Cartes,Stop ou encore;Transports, Fantastique;Transports, Fantastique,Bluff,Cartes,Stop ou encore;Dans Célestia, embarquez dans un aéronef avec une équipe d'aventuriers pour effectuer de nombreux voyages dans les cités de Celestia et récupérer leurs merveilleux trésors.;https://cdn2.philibertnet.com/343788-thickbox_default/celestia.jpg;https://blam-edition.com/images/logo.png;https://www.youtube.com/watch?v=Elj_EHPWWxo
455;Smile Life;Alexandre Seba, Margot Rousseau-Aymard;Smile Life;2 à 6 joueurs;12 ans;20 mn;Ambiance;https://www.play-in.com/pdf/rules_games/smile_life_regles_fr.pdf;Esplanade-Est 1;;179;non;oui;Combinaison,Gestion de main;Vie Courante;Vie Courante,Combinaison,Gestion de main;Soyez le plus heureux ! Smile Life consiste à faire et réussir sa vie. Les cartes représentent pour cela des événements liés aux domaines professionnel et personnel : amour, argent, famille, études, carrière, etc. Chaque joueur tâchera d’obtenir les meilleures cartes pour bâtir sa situation et  être le plus heureux possible. Sans épargner les autres pour autant... Posez des cartes face à vous pour faire votre vie. Les smiles, inscrits en haut à gauche des cartes posées, indiquent votre niveau de bonheur. Le but du jeu est d’en avoir le plus possible. Le jeu s’arrête quand la pioche est finie;https://cdn3.philibertnet.com/448513-large_default/smile-life.jpg;https://static.wixstatic.com/media/471cb5_94da4fac34504c089838f9032deb03ba~mv2.jpg;https://www.youtube.com/watch?v=dsDT5zhiCjU
553;Ligretto;Reiner Stockhausen;Schmidt Spiele;2 à 4 joueurs;8 ans;10 mn;Tout public;https://www.schmidtspiele.de/files/Produkte/0/01301%20-%20Ligretto%C2%AE%20rot/01107_Ligretto_DE-FR-ITpdf.pdf;Antigone-Sud 3;;193;non;oui;Cartes,Défausse,Rapidité,Simultané,Temps réel;Chiffres;Chiffres,Cartes,Défausse,Rapidité,Simultané,Temps réel;Jouer à en faire voler les cartes !  On ne saurait être plus rapide ! Un jeu de cartes turbulent qui ne devrait manquer chez aucun amateur de jeux. Tous les joueurs essaient en même temps de placer autant de cartes de la même couleur que possible en respectant l'ordre roissant de 1 à 10.;https://cdn2.philibertnet.com/389677-large_default/ligretto-vert.jpg;https://www.schmidtspiele.de/files/layout/logo.png;https://videoregles.net/videoregle/ligretto
555;Très futé !;Wolfgang Warsch;Schmidt Spiele;1 à 4 joueurs;8 ans;30 mn;Tout public;https://cdn.1j1ju.com/medias/6e/2f/13-tres-fute-regle.pdf;Antigone-Sud 3;;193;non;oui;Collection,Dés,Roll and write;Abstrait;Abstrait,Collection,Dés,Roll and write;Très futé est un jeu de dés, de combinaisons et de prise de risque. Lancez les dés et cochez les bonnes cases qui vous permettront de débloquer les bonus indispensables à votre victoire !;https://cdn3.philibertnet.com/405200-large_default/tres-fute-.jpg;https://www.schmidtspiele.de/files/layout/logo.png;https://videoregles.net/videoregle/tres-fute
588;Le bois des Couadsous;Blaise Muller;Jeux Opla;2 à 4 joueurs;6 ans;30 mn;Enfants;https://www.lad.education/pdf/regle-jeu/le-bois-des-couadsous-regle-jeu-2014-jeux-opla.pdf;Esplanade-Centre 5;Esplanade-Centre 5b;220;oui;oui;Cartes,Mémoire;Nature Forêt;Nature Forêt,Cartes,Mémoire;On est des Couadsous, et on doit se souvenir du chemin qui conduit à nos noisettes planquées l’automne dernier.;https://cdn1.philibertnet.com/342471-large_default/le-bois-des-couadsous.jpg;https://www.jeux-opla.fr/wp-content/uploads/cropped-logo_opla-1-1.png;https://www.youtube.com/watch?v=cEpufJCaEpk
673;Code couleurs;Kris Burm;Smart Games;1 joueur;5 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/code-couleur;Esplanade-Est 3;;181;non;oui;Casse-tête;Formes & Couleurs;Formes & Couleurs,Casse-tête;Code couleur est un jeu de casse-tête dans lequel le joueur doit tenter de reconstituer une figure à partir des 18 plaquettes transparentes à superposer. Le jeu contient 100 défis à relever.;https://cdn2.philibertnet.com/486143-large_default/code-couleur.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://vimeo.com/139787200
674;Il était une ferme;Raf Peeters;Smart Games;1 joueur;5 ans;;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/il-%C3%A9tait-une-ferme;Esplanade-Est 3;;181;non;oui;Casse-tête;Animaux;Animaux,Casse-tête;Dans Il était une ferme, c'est à vous de construire des barrières pour séparer les différentes espèces d'animaux.;https://cdn3.philibertnet.com/439885-large_default/il-etait-une-ferme.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.smartgames.eu/fr/jeux-pour-1-joueur/il-%C3%A9tait-une-ferme
677;L'Atlantide;;Smart Games;1 joueur;8 ans;25 mn;Enfants;https://www.smartgames.eu/fr/jeux-pour-1-joueur/latlantide;Esplanade-Est 3;;181;non;oui;Casse-tête;Atlantide;Atlantide,Casse-tête;Échappez-vous.... avant qu'il ne soit trop tard ! Pouvez-vous quitter Atlantis avant que cette île mythique ne disparaisse à jamais sous l'eau ?;https://cdn2.philibertnet.com/454400-large_default/l-atlantide.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.smartgames.eu/fr/jeux-pour-1-joueur/latlantide
682;L'Odyssée des Grenouilles;;Smart Games;2 à 6 joueurs;6 ans;30 mn;Enfants;https://regle.escaleajeux.fr/odysg_rg.pdf;Esplanade-Est 3;;181;non;oui;Course,Parcours;Animaux;Animaux,Course,Parcours;Faites traverser l’étang à vos grenouilles tout en empêchant les autres joueurs de faire de même. Le premier joueur qui réussit à amener toute sa famille de l’autre côté remporte la partie.;https://cdn1.philibertnet.com/481477-large_default/l-odyssee-des-grenouilles.jpg;https://gamesbysmart.com/static/version1676365149/frontend/ToysBySmart/ToysBySmartTheme/fr_FR/images/toysbysmart-logo.svg;https://www.youtube.com/watch?v=1yWcBsjULtU
